AccountID,CountryID,OrgID,PortfolioID,ReleaseID,Demand,UnitDemand,DemandAVG,DeltaMonth
62,18,1,1,352,2,2,2,0
62,8,1,1,185,3,2,2.5,0
62,18,1,1,185,4,7.3,5.65,0
62,18,1,1,185,1,7.3,4.15,1
62,18,1,1,185,3,7.3,5.15,0
62,18,1,1,185,1,7.3,4.15,0
62,18,1,1,185,2,7.3,4.65,1
62,18,1,1,185,2,7.3,4.65,0
62,18,1,1,185,3,7.3,5.15,0
62,18,1,1,185,3,7.3,5.15,1
62,18,1,1,185,1,7.3,4.15,1
62,18,1,1,185,1,7.3,4.15,0
62,21,1,1,185,2,3,2.5,0
62,21,1,1,185,3,1,2,0
62,21,1,1,185,1,4,2.5,0
62,21,1,1,185,1,4,2.5,0
62,18,10,1,185,9,9,9,0
62,18,10,1,185,1,5.5,3.25,0
62,18,10,1,185,2,5.5,3.75,0
62,18,10,1,185,1,5.5,3.25,0
62,18,10,1,185,2,5.5,3.75,0
62,18,10,1,185,2,5.5,3.75,0
62,18,10,1,185,1,5.5,3.25,0
62,18,10,1,185,2,5.67,3.835,0
62,18,10,1,185,2,5.67,3.835,0
62,18,10,1,185,3,5.67,4.335,0
62,21,10,1,185,3,4,3.5,0
62,21,10,1,185,1,2,1.5,0
62,21,18,1,352,1,3,2,0
62,18,18,1,185,13,13,13,-1
62,18,18,1,185,3,10,6.5,1
62,18,18,1,185,1,10,5.5,0
62,18,18,1,185,2,10,6,0
62,18,18,1,185,3,10,6.5,0
62,18,18,1,185,3,10,6.5,0
62,18,18,1,185,2,10,6,0
62,18,18,1,185,2,10.3,6.15,1
62,18,18,1,185,3,10.3,6.65,0
62,18,18,1,185,1,10.3,5.65,1
62,18,21,1,185,1,3,2,0
77,18,1,1,84,3,3,3,0
77,18,1,1,81,3,1,2,0
77,18,1,1,84,3,3,3,0
77,18,1,1,81,2,1,1.5,0
77,18,18,1,84,2,4,3,0
77,18,18,1,84,2,1,1.5,0
24,18,1,1,258,1.99,3.38,2.685,0
24,21,1,1,258,0.01,0.02,0.015,1
24,18,10,1,258,3.39,1.95,2.67,1
24,21,10,1,258,0.11,0.05,0.08,1
24,9,14,1,258,0.06,3,1.53,0
24,18,14,1,258,1.42,3,2.21,0
24,21,14,1,258,0.02,3,1.51,0
24,9,18,1,258,2.91,1.21,2.06,1
24,18,18,1,258,10.02,4.76,7.39,0
24,21,18,1,258,0.07,0.03,0.05,1
24,18,21,1,258,0.27,3,1.635,0
24,21,21,1,258,0.23,3,1.615,0
25,18,12,1,231,3,1.7,2.35,0
25,18,12,1,231,1,1.7,1.35,0
25,21,12,1,231,3,0.3,1.65,0
25,21,12,1,231,3,0.3,1.65,0
6,44,2,2,88,1,6,3.5,0
6,44,2,2,88,3,6,4.5,0
6,44,2,2,88,3,6,4.5,0
6,44,2,2,88,3,6,4.5,0
6,44,2,2,88,1,6,3.5,1
6,44,2,2,88,3,6,4.5,1
6,44,2,2,88,1,6,3.5,0
6,44,2,2,88,2,6,4,0
6,18,2,2,88,3,20.3,11.65,0
6,18,2,2,88,3,20.3,11.65,0
6,18,2,2,88,2,10.65,6.325,0
6,18,2,2,88,3,10.65,6.825,0
6,18,2,2,88,3,10.65,6.825,0
6,18,2,2,88,2,10.65,6.325,0
6,18,2,2,88,3,10.65,6.825,0
6,18,2,2,88,3,10.65,6.825,0
6,18,2,2,88,3,10.65,6.825,0
6,18,2,2,88,1,10.65,5.825,0
6,21,10,2,221,1,3,2,0
6,18,15,2,221,0.71,0.71,0.71,1
6,18,15,2,220,1,1.66,1.33,0
6,21,15,2,221,0.31,0.31,0.31,1
6,21,15,2,220,1,2.34,1.67,0
6,43,15,2,141,2,1,1.5,0
6,43,15,2,141,3,2,2.5,0
6,18,16,2,146,1.64,1.64,1.64,1
6,18,16,2,146,0.82,0.82,0.82,1
6,18,16,2,146,2,0.72,1.36,0
6,18,16,2,146,2,2,2,0
6,26,16,2,146,2.96,2.96,2.96,1
6,26,16,2,146,1.48,1.48,1.48,1
6,26,16,2,146,3,1.3,2.15,0
6,18,21,2,88,1,3.65,2.325,0
6,18,21,2,88,2,3.65,2.825,0
6,18,21,2,88,2,3.65,2.825,0
6,18,21,2,88,2,3.65,2.825,0
6,18,21,2,88,3,3.65,3.325,0
6,18,21,2,88,3,3.65,3.325,1
6,18,21,2,88,2,3.65,2.825,0
6,18,21,2,88,3,3.65,3.325,1
11,18,16,2,232,2,2,2,0
11,18,16,2,33,3,4,3.5,0
11,18,16,2,232,1,1,1,0
11,18,16,2,33,1,2,1.5,0
11,18,16,2,33,1,1,1,0
11,18,16,2,33,3,3,3,0
11,18,21,2,232,0.61,4,2.305,0
11,21,21,2,232,0.39,3,1.695,0
17,5,4,4,65,3,3,3,0
17,5,4,4,65,3,4,3.5,0
17,5,4,4,63,3,29.43,16.215,1
17,5,4,4,63,2,30.43,16.215,0
17,5,4,4,63,2,30.43,16.215,0
17,5,4,4,63,2,30.43,16.215,0
17,5,4,4,63,2,30.43,16.215,0
17,5,4,4,63,1,30.43,15.715,0
17,5,4,4,63,1,30.43,15.715,0
17,5,4,4,63,2,30.43,16.215,0
17,5,4,4,63,3,30.43,16.715,0
17,21,4,4,63,3,0.07,1.535,0
17,21,4,4,63,3,0.07,1.535,0
17,21,4,4,63,3,0.07,1.535,0
17,21,4,4,63,3,0.07,1.535,0
17,21,4,4,63,2,0.07,1.035,0
17,21,4,4,63,2,0.07,1.035,0
17,21,4,4,63,1,0.07,0.535,0
17,21,4,4,63,3,0.07,1.535,0
17,21,4,4,63,2,0.07,1.035,0
17,5,10,4,65,1,3,2,0
17,5,15,4,65,3,1,2,0
17,5,18,4,65,1,4,2.5,0
36,5,4,4,322,0.4,13.05,6.725,0
36,5,4,4,207,5.67,1,3.335,0
36,5,4,4,202,3,11.04,7.02,0
36,5,4,4,322,1.98,3,2.49,0
36,5,4,4,207,3.9,4,3.95,0
36,5,4,4,202,2,12.57,7.285,1
36,5,4,4,322,1.98,4,2.99,0
36,5,4,4,207,3.4,4,3.7,0
36,5,4,4,202,1,12.57,6.785,0
36,5,4,4,322,1.98,4,2.99,0
36,5,4,4,202,3,14.09,8.545,0
36,5,4,4,322,1.98,2,1.99,0
36,5,4,4,202,2,14.09,8.045,0
36,5,4,4,322,1.98,2,1.99,0
36,5,4,4,202,2,14.09,8.045,0
36,5,4,4,322,1.98,4,2.99,0
36,5,4,4,202,3,14.09,8.545,1
36,5,4,4,322,4.35,2,3.175,0
36,5,4,4,202,1,14.09,7.545,1
36,5,4,4,322,4.35,4,4.175,0
36,5,4,4,202,3,14.09,8.545,0
36,5,4,4,322,4.35,3,3.675,0
36,18,4,4,207,1,2,1.5,0
36,18,4,4,202,1,3.46,2.23,0
36,18,4,4,207,2,2,2,0
36,18,4,4,202,2,3.93,2.965,0
36,18,4,4,207,2,2,2,0
36,18,4,4,202,3,3.93,3.465,1
36,18,4,4,202,1,4.41,2.705,0
36,18,4,4,202,2,4.41,3.205,0
36,18,4,4,202,3,4.41,3.705,1
36,18,4,4,202,1,4.41,2.705,1
